Ano da Produção,Título da Produção,Tipo da Produção,Subtipo da Produção,Author 1,Categoria Author 1,Author 2,Categoria Author 2
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,FABIANO LUIS DE SOUSA,Participante Externo,SANDRA APARECIDA SANDRI,Docente
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ROBERTO LUIZ GALSKI,Participante Externo,EVANDRO MARCONI ROCCO,Participante Externo
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ROBERTO LUIZ GALSKI,Participante Externo,JOSE CARLOS BECCENERI,Docente
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ROBERTO LUIZ GALSKI,Participante Externo,WALTER ABRAHAO DOS SANTOS,Docente
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ROBERTO LUIZ GALSKI,Participante Externo,SANDRA APARECIDA SANDRI,Docente
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,EVANDRO MARCONI ROCCO,Participante Externo,JOSE CARLOS BECCENERI,Docente
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,EVANDRO MARCONI ROCCO,Participante Externo,WALTER ABRAHAO DOS SANTOS,Docente
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,EVANDRO MARCONI ROCCO,Participante Externo,SANDRA APARECIDA SANDRI,Docente
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,JOSE CARLOS BECCENERI,Docente,WALTER ABRAHAO DOS SANTOS,Docente
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,JOSE CARLOS BECCENERI,Docente,SANDRA APARECIDA SANDRI,Docente
