Ano da Produção,Título da Produção,Glosada,ISSN,Título do Periódico,DOI,URL,Tipo,Subtipo,Idioma,Autores,Categorias
2015,"CLASSIFYING GRASSLANDS AND CULTIVATED PASTURES IN THE BRAZILIAN CERRADO USING SUPPORT VECTOR MACHINES, MULTILAYER PERCEPTRONS AND AUTOENCODERS",Sim,,,,http://link.springer.com/10.1007/978-3-319-21024-7_13,BIBLIOGRÁFICA,LIVRO,Idioma Estrangeiro,WANDERSON SANTOS COSTA ; LEILA MARIA GARCIA FONSECA ; THALES SEHN KORTING,Discente - Doutorado ; Docente ; Participante Externo
2015,CLIMATE PRECIPITATION PREDICTION BY NEURAL NETWORK,Sim,2159-5291,Journal of Mathematics and System Science,,-,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Português,JULIANA APARECIDA ANOCHI ; HAROLDO FRAGA DE CAMPOS VELHO,Discente - Doutorado ; Docente
2015,CLUSTERING SEARCH AND VARIABLE MESH ALGORITHMS FOR CONTINUOUS OPTIMIZATION,Sim,0957-4174,Expert Systems with Applications,,[doi:10.1016/j.eswa.2014.08.040],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,LUIZ ANTONIO NOGUEIRA LORENA,Docente
2015,CLUSTERING SQL QUERIES TO ANALYSE DATABASE USAGE,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,VITOR HIROTA MAKIYAMA ; RAFAEL DUARTE COELHO DOS SANTOS,Discente - Mestrado ; Docente
2015,"COMMENT ON -CALIBRATION-INDEPENDENT MEASUREMENT OF COMPLEX PERMITTIVITY OF LIQUIDS USING A COAXIAL TRANSMISSION LINE- [REV. SCI. INSTRUM. 86, 014704 (2015)]",Sim,0034-6748,Review of Scientific Instruments,,[http://http:/scitation.aip.org/content/aip/journal/rsi][doi:10.1063/1.4926595],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,JOAQUIM JOSE BARROSO DE CASTRO,Docente
2015,"COMMUNITY DETECTION, WITH LOWER TIME COMPLEXITY, USING COUPLED KURAMOTO OSCILLATORS",Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,JOAO ELIAKIN MOTA DE OLIVEIRA ; MARCOS GONCALVES QUILES ; MARCOS DANIEL NOGUEIRA MAIA ; ELBERT EINSTEIN NEHRER MACAU,Discente - Doutorado ; Docente ; Discente - Doutorado ; Docente
2015,COMO O FORMATO DE ARQUIVOS XML EVOLUI? UM ESTUDO SOBRE SUA RELAÇÃO COM CÓDIGO-FONTE,Sim,,,,[http://vem2015.dcc.ufla.br/wp-content/uploads/2015/08/2015_vem_franca_et_al.pdf],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,DAVID DE SOUZA FRANCA ; EDUARDO MARTINS GUERRA ; MAURICIO FINAVARO ANICHE,Participante Externo ; Docente ; Participante Externo
2015,DAMAGE DETECTION BY VARIATIONAL APPROACH,Sim,,,,-,TÉCNICA,APRESENTAÇÃO DE TRABALHO,Português,HAROLDO FRAGA DE CAMPOS VELHO,Docente
2015,DATA ASSIMILATION BY ARTIFICIAL NEURAL NETWORKS FOR THE GLOBAL FSU ATMOSPHERIC MODEL: SURFACE PRESSURE,Sim,,,,[http://la-cci.org/wp-content/uploads/2015/09/Programa%C3%A7%C3%A3o-LA-CCI-CBIC-2015-SESS%C3%95ES.pdf],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,ROSANGELA SAHER CORREA CINTRA ; Steven Cocke ; HAROLDO FRAGA DE CAMPOS VELHO,Participante Externo ; Participante Externo ; Docente
2015,DATA ASSIMILATION USING ARTIFICIAL NEURAL NETWORKS FOR THE GLOBAL FSU ATMOSPHERIC MODEL,Sim,,,,[http://meetingorganizer.copernicus.org/EGU2015/EGU2015-543.pdf],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,ROSANGELA SAHER CORREA CINTRA ; Steven Cocke ; HAROLDO FRAGA DE CAMPOS VELHO,Participante Externo ; Participante Externo ; Docente
